Date,Abonne 1,Abonne 2,Abonne 3,Facture Abonne 1,Facture Abonne 2,Facture Abonne 3
10/1/2014 0:00,26.26,14.165,15.95,1.49,9.75,27.95
10/10/2014 0:00,22.87,11.89,12.85,2.80,10.42,28.68
10/11/2014 0:00,22.43,11.76,11.05,4.07,11.09,29.31
10/12/2014 0:00,25.28,13.46,15.12,5.51,11.86,30.17
10/13/2014 0:00,21.17,11.28,12.26,6.71,12.50,30.87
10/14/2014 0:00,20.44,10.73,10.82,7.88,13.11,31.48
10/15/2014 0:00,20.68,10.66,15.32,9.05,13.72,32.35
10/16/2014 0:00,21.14,11.01,14.46,10.26,14.35,33.18
10/17/2014 0:00,20.16,10.57,15.15,11.40,14.95,34.04
10/18/2014 0:00,19.97,10.375,15.5,12.54,15.54,34.92
10/19/2014 0:00,21.89,11.485,12.97,13.79,16.19,35.66
10/2/2014 0:00,25.08,13.33,15.42,15.21,16.95,36.54
10/20/2014 0:00,21.96,11.48,11.03,16.46,17.60,37.16
10/21/2014 0:00,22.52,11.64,15.35,17.74,18.26,38.04
10/22/2014 0:00,20.9,10.785,13.84,18.93,18.88,38.82
10/23/2014 0:00,20.28,10.555,11.76,20.09,19.48,39.49
10/24/2014 0:00,20.05,10.385,16.2,21.23,20.07,40.42
10/25/2014 0:00,20.93,10.88,14.42,22.42,20.69,41.24
10/26/2014 0:00,21.93,11.435,13.19,23.67,21.34,41.99
10/27/2014 0:00,21.01,10.91,17.15,24.86,21.96,42.96
10/28/2014 0:00,22.3,11.595,13.75,26.13,22.62,43.74
10/29/2014 0:00,19.25,9.965,13.66,27.23,23.19,44.52
10/3/2014 0:00,0,0,0,27.23,23.19,44.52
10/30/2014 0:00,24.4,12.575,16.41,28.62,23.90,45.46
10/31/2014 0:00,36.54190605,23.605,16.59,30.69,25.25,46.40
10/4/2014 0:00,22.91,11.815,14.76,32.00,25.92,47.24
10/5/2014 0:00,23.48,12.16,12.06,33.33,26.61,47.93
10/6/2014 0:00,22.98,11.98,11.94,34.64,27.29,48.61
10/7/2014 0:00,23.27,12.43,12.94,35.97,28.00,49.34
10/8/2014 0:00,22.68,11.78,11.53,37.26,28.67,50.00
10/9/2014 0:00,22.98,11.85,13.73,38.56,29.34,50.78
11/1/2014 0:00,36.54190605,19.675,13.22,40.64,30.46,51.53
11/10/2014 0:00,18.55,9.72,12.33,41.70,31.02,52.23
11/11/2014 0:00,22.48,11.775,14.33,42.98,31.69,53.05
11/12/2014 0:00,18.94,9.99,15.83,44.06,32.25,53.95
11/13/2014 0:00,22.31,11.805,14.1,45.32,32.93,54.75
11/14/2014 0:00,20.65,10.86,21.54,46.50,33.54,55.98
11/15/2014 0:00,18.61,9.95,15.11,47.56,34.11,56.84
11/16/2014 0:00,22.37,11.705,15.06,48.83,34.78,57.69
11/17/2014 0:00,19.96,10.5,14.66,49.97,35.37,58.53
11/18/2014 0:00,18.33,9.71,13.09,51.01,35.93,59.27
11/19/2014 0:00,17.59,9.3,15,52.01,36.46,60.13
11/2/2014 0:00,21.93,11.54,15.84,53.26,37.11,61.03
11/20/2014 0:00,18.14,9.63,20.16,54.29,37.66,62.17
11/21/2014 0:00,17.79,9.45,15.16,55.30,38.20,63.04
11/22/2014 0:00,11.88,6.445,14.58,55.98,38.56,63.87
11/23/2014 0:00,6.07,3.64,10.72,56.32,38.77,64.48
11/24/2014 0:00,6.24,3.625,13.06,56.68,38.98,65.22
11/25/2014 0:00,5.54,3.26,14.92,56.99,39.16,66.07
11/26/2014 0:00,6.45,3.79,14.07,57.36,39.38,66.87
11/27/2014 0:00,5.42,3.29,14.85,57.67,39.57,67.71
11/28/2014 0:00,6.01,3.45,12.25,58.01,39.76,68.41
11/29/2014 0:00,5.79,3.28,13.06,58.34,39.95,69.15
11/3/2014 0:00,20.36,10.605,13.59,59.50,40.55,69.93
11/30/2014 0:00,6.41,3.705,15.28,59.86,40.76,70.80
11/4/2014 0:00,20.52,10.68,16.98,61.03,41.37,71.76
11/5/2014 0:00,20.72,10.755,12.55,62.21,41.98,72.48
11/6/2014 0:00,19.61,10.235,18.45,63.33,42.57,73.53
11/7/2014 0:00,18.64,9.71,19.57,64.39,43.12,74.64
11/8/2014 0:00,20.39,10.565,18.48,65.55,43.72,75.69
11/9/2014 0:00,21.65,11.265,18.41,66.78,44.36,76.74
12/1/2014 0:00,5.58,3.325,14.43,67.10,44.55,77.56
12/10/2014 0:00,6.11,3.815,15.62,67.44,44.77,78.45
12/11/2014 0:00,6.69,4.1,14.57,67.83,45.00,79.28
12/12/2014 0:00,6.16,3.935,14.04,68.18,45.22,80.08
12/13/2014 0:00,6.48,4.145,21.45,68.54,45.46,81.30
12/14/2014 0:00,6.94,4.37,15.54,68.94,45.71,82.18
12/15/2014 0:00,5.8,3.835,18.62,69.27,45.93,83.24
12/16/2014 0:00,6.53,4.26,18.98,69.64,46.17,84.32
12/17/2014 0:00,2.44,2.44,22.08,69.78,46.31,85.58
12/18/2014 0:00,2.9,2.9,19.83,69.95,46.47,86.71
12/19/2014 0:00,3.52,3.52,19.96,70.15,46.67,87.84
12/2/2014 0:00,6.78,3.915,14,70.53,46.90,88.64
12/20/2014 0:00,1.94,1.94,20.23,70.64,47.01,89.79
12/21/2014 0:00,3.68,3.68,19.71,70.85,47.22,90.91
12/22/2014 0:00,2.74,2.74,23.23,71.01,47.37,92.23
12/23/2014 0:00,3.27,3.27,19.7,71.19,47.56,93.35
12/24/2014 0:00,3.03,3.03,18.48,71.37,47.73,94.41
12/25/2014 0:00,2.48,2.48,22.69,71.51,47.87,95.70
12/26/2014 0:00,2.58,2.58,22.1,71.65,48.02,96.95
12/27/2014 0:00,2.8,2.8,17.57,71.81,48.18,97.95
12/28/2014 0:00,2.2,2.2,24.76,71.94,48.30,99.36
12/29/2014 0:00,2.89,2.89,16.2,72.10,48.47,100.28
12/3/2014 0:00,5.49,3.135,13.81,72.41,48.64,101.07
12/30/2014 0:00,2.93,2.93,24.64,72.58,48.81,102.47
12/31/2014 0:00,2.53,2.53,20.72,72.73,48.96,103.65
12/4/2014 0:00,6.83,3.925,15.63,73.11,49.18,104.54
12/5/2014 0:00,6.94,3.985,12.17,73.51,49.41,105.23
12/6/2014 0:00,6.24,3.825,13.94,73.86,49.62,106.03
12/7/2014 0:00,7.44,4.46,11.76,74.29,49.88,106.69
12/8/2014 0:00,5.69,3.56,15.55,74.61,50.08,107.58
12/9/2014 0:00,6.57,3.88,15.31,74.98,50.30,108.45
2/1/2014 0:00,0,4.84,15.4,74.98,50.58,109.33
2/10/2014 0:00,0,7.98,14.63,74.98,51.03,110.16
2/11/2014 0:00,0,6.67,15.42,74.98,51.41,111.04
2/12/2014 0:00,0,7.77,13.12,74.98,51.85,111.78
2/13/2014 0:00,0,7.6,17,74.98,52.28,112.75
2/14/2014 0:00,0,6.24,9.44,74.98,52.64,113.29
2/15/2014 0:00,0,8.67,13.19,74.98,53.13,114.04
2/16/2014 0:00,0,8.09,13,74.98,53.59,114.78
2/17/2014 0:00,0,6.91,16.07,74.98,53.99,115.69
2/18/2014 0:00,0,7.79,11.19,74.98,54.43,116.33
2/19/2014 0:00,0,8.04,12.04,74.98,54.89,117.01
2/2/2014 0:00,0,6.06,12.06,74.98,55.23,117.70
2/20/2014 0:00,0,7.92,16.96,74.98,55.68,118.67
2/21/2014 0:00,0,7.79,11.58,74.98,56.13,119.32
2/22/2014 0:00,0,6.82,16.77,74.98,56.51,120.28
2/23/2014 0:00,0,8.37,16.19,74.98,56.99,121.20
2/24/2014 0:00,0,8.24,15.87,74.98,57.46,122.10
2/25/2014 0:00,0,8.2,9.86,74.98,57.92,122.66
2/26/2014 0:00,0,7.05,15.01,74.98,58.33,123.52
2/27/2014 0:00,0,7.29,11.82,74.98,58.74,124.19
2/28/2014 0:00,0,7.26,11.98,74.98,59.15,124.87
2/3/2014 0:00,0,5.6,14.02,74.98,59.47,125.67
2/4/2014 0:00,0,6.72,12.49,74.98,59.85,126.38
2/5/2014 0:00,0,7.29,8.91,74.98,60.27,126.89
2/6/2014 0:00,0,5.6,2.44,74.98,60.59,127.03
2/7/2014 0:00,0,6.28,2.22,74.98,60.95,127.15
2/8/2014 0:00,0,6.73,9.32,74.98,61.33,127.68
2/9/2014 0:00,0,6.97,14.29,74.98,61.73,128.50
3/1/2014 0:00,0,7.28,6.89,74.98,62.14,128.89
3/10/2014 0:00,6.41,7.093333333,13.67,75.35,62.54,129.67
3/11/2014 0:00,6.68,7.103333333,12.24,75.73,62.95,130.36
3/12/2014 0:00,7.15,7.623333333,11.65,76.14,63.38,131.03
3/13/2014 0:00,6,6.766666667,10.94,76.48,63.77,131.65
3/14/2014 0:00,5.02,6.406666667,14,76.76,64.13,132.44
3/15/2014 0:00,6.89,7.466666667,14.93,77.16,64.56,133.29
3/16/2014 0:00,6.91,7.43,10.3,77.55,64.98,133.88
3/17/2014 0:00,8.26,7.553333333,13.48,78.02,65.41,134.65
3/18/2014 0:00,5.55,5.836666667,11.46,78.33,65.74,135.30
3/19/2014 0:00,5.37,5.52,12.73,78.64,66.05,136.02
3/2/2014 0:00,8.3,8.386666667,8.1,79.11,66.53,136.48
3/20/2014 0:00,4.72,5.48,12.68,79.38,66.84,137.21
3/21/2014 0:00,6.56,7.203333333,12.47,79.75,67.25,137.92
3/22/2014 0:00,4.94,5.553333333,10.04,80.04,67.57,138.49
3/23/2014 0:00,7.89,7.463333333,12.57,80.48,67.99,139.20
3/24/2014 0:00,5.08,5.43,13.77,80.77,68.30,139.99
3/25/2014 0:00,6.57,6.476666667,9.53,81.15,68.67,140.53
3/26/2014 0:00,5.2,5.413333333,10.02,81.44,68.98,141.10
3/27/2014 0:00,4.78,5.37,10.14,81.71,69.28,141.67
3/28/2014 0:00,4.46,5.006666667,12.33,81.97,69.57,142.38
3/29/2014 0:00,4.9,5.31,14.72,82.25,69.87,143.21
3/3/2014 0:00,7.57,7.476666667,9.63,82.68,70.30,143.76
3/30/2014 0:00,6.08,6.013333333,12.52,83.02,70.64,144.47
3/31/2014 0:00,6.59,6.573333333,13.15,83.40,71.01,145.22
3/4/2014 0:00,7.01,7,13.4,83.80,71.41,145.98
3/5/2014 0:00,7.61,7.7,17.35,84.23,71.85,146.97
3/6/2014 0:00,8.1,8.373333333,10.06,84.69,72.33,147.54
3/7/2014 0:00,4.54,5.76,11.95,84.95,72.65,148.22
3/8/2014 0:00,7.78,8.25,13.31,85.39,73.12,148.98
3/9/2014 0:00,8.57,8.816666667,11.28,85.88,73.62,149.62
4/1/2014 0:00,7.06,6.95,12.41,86.28,74.02,150.33
4/10/2014 0:00,8.03,7.063333333,11.48,86.74,74.42,150.98
4/11/2014 0:00,8.7,7.716666667,15.88,87.23,74.86,151.89
4/12/2014 0:00,7.85,6.926666667,9.58,87.68,75.26,152.43
4/13/2014 0:00,7.27,6.543333333,16.36,88.09,75.63,153.36
4/14/2014 0:00,6.26,5.896666667,9.86,88.45,75.96,153.92
4/15/2014 0:00,8.32,7.393333333,9.91,88.92,76.38,154.49
4/16/2014 0:00,7.11,6.566666667,7.54,89.33,76.76,154.92
4/17/2014 0:00,6.52,5.96,12.26,89.70,77.10,155.61
4/18/2014 0:00,6.18,5.51,12.38,90.05,77.41,156.32
4/19/2014 0:00,0,5.3,12.43,90.05,77.71,157.03
4/2/2014 0:00,10.42,9.496666667,12.83,90.64,78.25,157.76
4/20/2014 0:00,6.32,5.986666667,11.22,91.00,78.59,158.39
4/21/2014 0:00,6.14,5.71,8.06,91.35,78.92,158.85
4/22/2014 0:00,5.5,5.32,8.85,91.67,79.22,159.36
4/23/2014 0:00,5.07,5.246666667,12.01,91.95,79.52,160.04
4/24/2014 0:00,8.91,7.59,11.09,92.46,79.95,160.67
4/25/2014 0:00,6.97,6.23,14.09,92.86,80.31,161.47
4/26/2014 0:00,8.3,7.06,11.75,93.33,80.71,162.14
4/27/2014 0:00,8.01,7.156666667,9.38,93.79,81.11,162.67
4/28/2014 0:00,6.81,5.973333333,9.63,94.17,81.45,163.22
4/29/2014 0:00,5.58,5.436666667,10.37,94.49,81.76,163.81
4/3/2014 0:00,7.57,7.386666667,10.28,94.92,82.18,164.40
4/30/2014 0:00,6.64,6.203333333,10.32,95.30,82.54,164.98
4/4/2014 0:00,8.01,7.656666667,11.92,95.76,82.97,165.66
4/5/2014 0:00,7.16,7.106666667,11.42,96.16,83.38,166.31
4/6/2014 0:00,8.17,7.676666667,11.24,96.63,83.81,166.95
4/7/2014 0:00,8.6,8.226666667,11.71,97.12,84.28,167.62
4/8/2014 0:00,7.85,7.22,14.71,97.56,84.69,168.46
4/9/2014 0:00,8.49,7.563333333,10.59,98.05,85.12,169.06
5/1/2014 0:00,6.59,6.19,12.32,98.42,85.48,169.76
5/10/2014 0:00,7.37,6.573333333,10.91,98.84,85.85,170.38
5/11/2014 0:00,7.62,6.853333333,15.31,99.27,86.24,171.25
5/12/2014 0:00,6.71,6.063333333,13.63,99.66,86.58,172.03
5/13/2014 0:00,7.13,6.38,12.02,100.06,86.95,172.71
5/14/2014 0:00,7.72,6.67,10.9,100.50,87.33,173.33
5/15/2014 0:00,7.7,6.786666667,10.05,100.94,87.71,173.90
5/16/2014 0:00,7.56,6.623333333,11.86,101.37,88.09,174.58
5/17/2014 0:00,8.28,7.193333333,13.26,101.84,88.50,175.33
5/18/2014 0:00,7.88,6.893333333,7.03,102.29,88.89,175.73
5/19/2014 0:00,0,5.31,15.23,102.29,89.19,176.60
5/2/2014 0:00,7.92,6.813333333,12.37,102.74,89.58,177.30
5/20/2014 0:00,5.8,5.613333333,21.45,103.07,89.90,178.52
5/21/2014 0:00,5.88,5.82,14.18,103.40,90.23,179.33
5/22/2014 0:00,6.67,6.226666667,14.65,103.78,90.59,180.16
5/23/2014 0:00,6.59,6.326666667,11.35,104.16,90.95,180.81
5/24/2014 0:00,7.53,6.806666667,18.9,104.59,91.33,181.88
5/25/2014 0:00,6.59,6.323333333,24.66,104.96,91.69,183.29
5/26/2014 0:00,7.6,6.776666667,18.68,105.39,92.08,184.35
5/27/2014 0:00,6.36,6.136666667,17.23,105.76,92.43,185.33
5/28/2014 0:00,7.83,7.063333333,18.54,106.20,92.83,186.39
5/29/2014 0:00,6.37,5.963333333,29.63,106.56,93.17,188.07
5/3/2014 0:00,6.5,6.11,10.57,106.93,93.52,188.67
5/30/2014 0:00,7.29,6.44,27.82,107.35,93.88,190.26
5/31/2014 0:00,6.92,6.17,13.45,107.74,94.23,191.02
5/4/2014 0:00,7.05,6.376666667,12.01,108.14,94.60,191.71
5/5/2014 0:00,6.78,6.283333333,9.76,108.53,94.95,192.26
5/6/2014 0:00,7.29,6.733333333,12.18,108.94,95.34,192.95
5/7/2014 0:00,6.68,6.413333333,12.05,109.33,95.70,193.64
5/8/2014 0:00,7,6.363333333,11.79,109.72,96.06,194.31
5/9/2014 0:00,7.59,7.136666667,10.5,110.16,96.47,194.91
6/1/2014 0:00,9.76,8.183333333,25.61,110.71,96.94,196.36
6/10/2014 0:00,7.2,6.373333333,25.76,111.12,97.30,197.83
6/11/2014 0:00,6.37,5.77,14.07,111.48,97.63,198.63
6/12/2014 0:00,7.82,6.826666667,33.02,111.93,98.02,200.51
6/13/2014 0:00,7.47,6.693333333,36.02,112.35,98.40,202.56
6/14/2014 0:00,7.11,6.45,40.03,112.76,98.76,204.84
6/15/2014 0:00,7.63,6.976666667,33.15,113.19,99.16,206.72
6/16/2014 0:00,8,6.97,34.55,113.65,99.56,208.69
6/17/2014 0:00,9.36,7.876666667,40.04,114.18,100.01,210.97
6/18/2014 0:00,11.4,9.246666667,33.2,114.83,100.53,212.86
6/19/2014 0:00,8.56,7.406666667,14.63,115.31,100.95,213.69
6/2/2014 0:00,8.48,7.493333333,14.69,115.80,101.38,214.52
6/20/2014 0:00,7.82,6.826666667,37.11,116.24,101.77,216.64
6/21/2014 0:00,10.43,9.44,38.99,116.84,102.30,218.86
6/22/2014 0:00,14.2,11.52333333,39.9,117.64,102.96,221.13
6/23/2014 0:00,7.39,6.63,20.16,118.06,103.34,222.27
6/24/2014 0:00,6.76,6.29,38.55,118.45,103.70,224.47
6/25/2014 0:00,8.24,6.816666667,31.1,118.92,104.08,226.24
6/26/2014 0:00,14.58,11.72333333,40.41709399,119.75,104.75,228.54
6/27/2014 0:00,14.35,11.63666667,40.41709399,120.56,105.41,230.84
6/28/2014 0:00,19.03,15.88666667,40.41709399,121.65,106.32,233.13
6/29/2014 0:00,12.17,10.26333333,38.43,122.34,106.90,235.32
6/3/2014 0:00,7.45,6.623333333,17.71,122.76,107.28,236.33
6/30/2014 0:00,16.83,13.23666667,30.84,123.72,108.03,238.08
6/4/2014 0:00,7.18,6.22,27.59,124.13,108.38,239.65
6/5/2014 0:00,6.95,6.343333333,24.93,124.52,108.75,241.07
6/6/2014 0:00,6.34,5.856666667,21.82,124.89,109.08,242.31
6/7/2014 0:00,7.24,6.583333333,34.86,125.30,109.45,244.30
6/8/2014 0:00,6.48,5.946666667,26.06,125.67,109.79,245.78
6/9/2014 0:00,7.2,6.293333333,18.29,126.08,110.15,246.82
7/1/2014 0:00,22.26,17.08666667,37.74,127.34,111.12,248.97
7/10/2014 0:00,25.43,20.67,24.25,128.79,112.30,250.35
7/11/2014 0:00,29.32,22.59,16.12,130.46,113.58,251.27
7/12/2014 0:00,27.62,22.43,13.29,132.03,114.86,252.02
7/13/2014 0:00,35.55,26.79361632,19.96,134.05,116.38,253.16
7/14/2014 0:00,18.1,16.03333333,40.41709399,135.08,117.30,255.46
7/15/2014 0:00,21.94,18.69333333,40.41709399,136.33,118.36,257.76
7/16/2014 0:00,23.28,19.54666667,40.41709399,137.65,119.47,260.06
7/17/2014 0:00,24.81,20.48333333,40.41709399,139.07,120.64,262.36
7/18/2014 0:00,28.29,22.80666667,40.41709399,140.68,121.94,264.66
7/19/2014 0:00,24.96,20.42,35.49,142.10,123.10,266.68
7/2/2014 0:00,25.21,19.12333333,32.51,143.53,124.19,268.53
7/20/2014 0:00,22.38,17.58,12.16,144.80,125.19,269.22
7/21/2014 0:00,23.79,19.85666667,10.17,146.16,126.32,269.80
7/22/2014 0:00,23.76,19.43666667,13.35,147.51,127.42,270.56
7/23/2014 0:00,18.36,15.32666667,11.03,148.55,128.29,271.18
7/24/2014 0:00,15.67,12.22333333,8.67,149.45,128.99,271.68
7/25/2014 0:00,16.97,13.93333333,17.26,150.41,129.78,272.66
7/26/2014 0:00,23.61,18.1,29.75,151.76,130.81,274.35
7/27/2014 0:00,25.02,20.04333333,30.2,153.18,131.95,276.07
7/28/2014 0:00,21.22,18.21333333,38.09,154.39,132.99,278.24
7/29/2014 0:00,25.12,20.24666667,35.41,155.82,134.14,280.25
7/3/2014 0:00,22.64,17.96666667,33.9,157.10,135.16,282.18
7/30/2014 0:00,29.32,23.02333333,37.65,158.77,136.47,284.32
7/31/2014 0:00,28.08,22.77666667,38.63,160.37,137.77,286.52
7/4/2014 0:00,22.52,18.29666667,23.65,161.65,138.81,287.87
7/5/2014 0:00,26.09,19.73333333,30.07,163.14,139.93,289.58
7/6/2014 0:00,20.8,16.98333333,37.42,164.32,140.90,291.71
7/7/2014 0:00,22.92,18.26,29.95,165.62,141.94,293.41
7/8/2014 0:00,23.42,18.89666667,20.64,166.96,143.01,294.59
7/9/2014 0:00,27.91,21.61,40.41709399,168.54,144.24,296.89
8/1/2014 0:00,27.85,21.60666667,36.11,170.13,145.47,298.94
8/10/2014 0:00,24.08,19.53333333,12.27,171.50,146.58,299.64
8/11/2014 0:00,17.39,15,10.42,172.49,147.44,300.23
8/12/2014 0:00,14.73,13.86,8.06,173.33,148.23,300.69
8/13/2014 0:00,16.81,14.38,8.64,174.28,149.04,301.18
8/14/2014 0:00,18.68,15.64666667,9.36,175.35,149.93,301.71
8/15/2014 0:00,19.56,16.96333333,10.18,176.46,150.90,302.29
8/16/2014 0:00,17.94,16.08333333,9.82,177.48,151.82,302.85
8/17/2014 0:00,18.46,16.06666667,10.95,178.53,152.73,303.47
8/18/2014 0:00,16.45,15.7,10.07,179.47,153.62,304.05
8/19/2014 0:00,13.61,11.58333333,7.59,180.24,154.28,304.48
8/2/2014 0:00,29.95,23.86,39.75,181.94,155.64,306.74
8/20/2014 0:00,12.21,11.00333333,12.01,182.64,156.27,307.42
8/21/2014 0:00,11.37,9.573333333,8.73,183.29,156.81,307.92
8/22/2014 0:00,15.51,12.57666667,14.06,184.17,157.53,308.72
8/23/2014 0:00,18.21,14.81,23.1,185.21,158.37,310.04
8/24/2014 0:00,18.08,14.99,22.86,186.23,159.22,311.34
8/25/2014 0:00,16.31,14.72333333,16.23,187.16,160.06,312.26
8/26/2014 0:00,21.2,23.745,30,188.37,161.41,313.97
8/27/2014 0:00,19.14,22.2,21.02,189.46,162.67,315.16
8/28/2014 0:00,17.08,22.68,23.39,190.43,163.96,316.49
8/29/2014 0:00,17.82,22.475,19.59,191.44,165.24,317.61
8/3/2014 0:00,23.38,20.07666667,11.78,192.77,166.39,318.28
8/30/2014 0:00,18.31,20.84,20.87,193.82,167.57,319.47
8/31/2014 0:00,17.29,20.53,24.36,194.80,168.74,320.85
8/4/2014 0:00,26.8,21.61333333,10.25,196.32,169.97,321.44
8/5/2014 0:00,25.82,20.91333333,8.93,197.79,171.16,321.94
8/6/2014 0:00,29.22,22.94666667,10.37,199.46,172.46,322.53
8/7/2014 0:00,26.52,21.14666667,10.12,200.96,173.67,323.11
8/8/2014 0:00,30.25,24.25333333,9.82,202.69,175.05,323.67
8/9/2014 0:00,28.64,22.92666667,10.03,204.32,176.35,324.24
9/1/2014 0:00,15.5,20.55,24.54,205.20,177.52,325.64
9/10/2014 0:00,17.57,22.345,26.55,206.20,178.79,327.15
9/11/2014 0:00,18.52,21.225,28.13,207.25,180.00,328.75
9/12/2014 0:00,25.06,26.79361632,22.12,208.68,181.53,330.01
9/13/2014 0:00,22.49,23.18,22.73,209.96,182.84,331.30
9/14/2014 0:00,28.7,26.79361632,24.46,211.59,184.37,332.69
9/15/2014 0:00,18.36,18.91,25.66,212.63,185.44,334.15
9/16/2014 0:00,17.3,22.72,28.38,213.62,186.74,335.77
9/17/2014 0:00,18.62,21.46,24.74,214.68,187.96,337.17
9/18/2014 0:00,20.62,24.19,28.32,215.85,189.34,338.78
9/19/2014 0:00,26.62,25.385,23.93,217.37,190.78,340.15
9/2/2014 0:00,19.32,22.09,26.83,218.47,192.04,341.67
9/20/2014 0:00,13.28,8.11,19.07,219.22,192.50,342.76
9/21/2014 0:00,12.47,6.75,12.67,219.93,192.88,343.48
9/22/2014 0:00,26.2,13.715,13,221.42,193.66,344.22
9/23/2014 0:00,27.99,14.775,17.35,223.01,194.50,345.21
9/24/2014 0:00,33.68,17.775,23.17,224.93,195.51,346.52
9/25/2014 0:00,29.82,15.85,27.05,226.63,196.42,348.06
9/26/2014 0:00,30.19,16.375,19.02,228.35,197.35,349.15
9/27/2014 0:00,35.23,18.98,22.68,230.35,198.43,350.44
9/28/2014 0:00,32.44,17.5,22.18,232.20,199.42,351.70
9/29/2014 0:00,36.54190605,22.1,29.2,234.27,200.68,353.36
9/3/2014 0:00,16.38,14.315,23.05,235.21,201.50,354.67
9/30/2014 0:00,33.11,17.445,27.56,237.09,202.49,356.24
9/4/2014 0:00,14.08,14.58,23.22,237.89,203.32,357.56
9/5/2014 0:00,15.71,17.855,19.19,238.79,204.33,358.65
9/6/2014 0:00,15.7,20.855,27.05,239.68,205.52,360.19
9/7/2014 0:00,24.01,23.28,23.56,241.05,206.85,361.53
9/8/2014 0:00,26.28,26.79361632,25.39,242.54,208.37,362.98
9/9/2014 0:00,18.66,22.745,23.61,243.60,209.66,364.32
1/1/2015 0:00,2.92,2.92,15.76,243.77,209.83,365.22
1/10/2015 0:00,3.48,3.48,25.56,243.97,210.03,366.67
1/11/2015 0:00,4.28,4.28,24.45,244.21,210.27,368.06
1/12/2015 0:00,3.79,3.79,21.31,244.43,210.49,369.27
1/13/2015 0:00,3.43,3.43,20.59,244.62,210.68,370.45
1/14/2015 0:00,3.15,3.15,20.39,244.80,210.86,371.61
1/15/2015 0:00,3.55,3.55,23.26,245.00,211.06,372.93
1/16/2015 0:00,3.22,3.22,24.74,245.19,211.25,374.34
1/17/2015 0:00,3.76,3.76,19.76,245.40,211.46,375.46
1/18/2015 0:00,3.45,3.45,26.24,245.60,211.66,376.96
1/19/2015 0:00,3.21,3.21,18.57,245.78,211.84,378.01
1/2/2015 0:00,3.32,3.32,17.91,245.97,212.03,379.03
1/20/2015 0:00,3.59,3.59,24.4,246.17,212.23,380.42
1/21/2015 0:00,3.33,3.33,21.92,246.36,212.42,381.67
1/22/2015 0:00,2.91,2.91,18.57,246.53,212.59,382.72
1/23/2015 0:00,2.93,2.93,17.62,246.69,212.75,383.73
1/24/2015 0:00,2.82,2.82,16.49,246.85,212.92,384.66
1/25/2015 0:00,2.67,2.67,21.61,247.01,213.07,385.89
1/26/2015 0:00,3.28,3.28,16.57,247.19,213.25,386.84
1/27/2015 0:00,3.67,3.67,16.28,247.40,213.46,387.76
1/28/2015 0:00,4.17,4.17,20.26,247.64,213.70,388.92
1/29/2015 0:00,3.26,3.26,28.16,247.82,213.89,390.52
1/3/2015 0:00,2.75,2.75,27.08,247.98,214.04,392.06
1/30/2015 0:00,4.03,4.03,19.17,248.21,214.27,393.15
1/31/2015 0:00,4.41,4.41,32.83,248.46,214.52,395.02
1/4/2015 0:00,2.6,2.6,19.37,248.61,214.67,396.12
1/5/2015 0:00,2.92,2.92,18.84,248.77,214.84,397.19
1/6/2015 0:00,2.04,2.04,24.68,248.89,214.95,398.60
